Município;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
ITABUNA;997;7225;18778;525;60;58;449;357;2280;1368;514;2159;34776
ITACARE;3;150;513;80;11;43;345;5;69;47;183;17;1466
ITAETE;1;10;9;1;-;-;281;-;20;11;88;2;423
ITAGI;1;5;5;1;-;-;3;2;12;157;41;3;230
ITAGIBA;14;10;374;5;-;24;206;23;10;75;362;59;1162
ITAGIMIRIM;-;4;22;32;2;-;40;-;89;168;19;11;387
ITAGUACU DA BAHIA;-;3;4;1;9;1;27;31;25;10;132;12;255
ITAJU DO COLONIA;1;4;48;4;-;-;8;-;9;2;5;1;82
ITAJUIPE;15;17;336;23;5;17;44;40;391;92;115;61;1156
ITAMARAJU;9;41;110;17;16;21;71;176;49;52;790;203;1555
ITAMARI;-;-;-;1;2;14;28;11;5;30;113;4;208
ITAMBE;-;4;39;2;-;4;103;11;135;12;395;31;736
ITANAGRA;-;-;2;-;-;1;3;1;2;2;19;5;35
ITANHEM;3;9;37;12;19;27;557;1;12;42;54;9;782
ITAPARICA;13;73;67;6;1;15;76;4;8;52;38;26;379
ITAPE;13;128;205;7;1;1;12;3;69;172;73;69;753
ITAPEBI;22;36;73;102;6;6;14;27;191;111;153;113;854
ITAPETINGA;3;131;1670;22;1;5;408;157;25;24;855;111;3412
ITAPICURU;9;2;1;2;-;24;115;7;4;5;6;25;200
ITAPITANGA;1;-;169;4;1;2;-;-;13;1;19;10;220
ITAQUARA;1;-;-;-;-;-;156;1;-;-;55;3;216
ITARANTIM;1;20;-;12;-;-;25;4;25;7;85;78;257
ITATIM;5;24;6;-;-;6;23;2;9;7;25;1;108
ITIRUCU;6;10;3;-;-;15;98;45;15;35;52;7;286
ITIUBA;7;199;21;10;2;196;57;1;13;2;101;32;641
ITORORO;2;12;752;5;2;7;66;115;152;9;82;7;1211
ITUACU;52;5;6;11;3;-;42;4;4;94;54;28;303
ITUBERA;2;1;59;4;1;341;9;2;5;91;31;11;557
IUIU;1;102;54;1;-;15;3;63;118;22;914;9;1302
JABORANDI;5;15;11;4;30;21;326;101;23;31;258;4;829
JACARACI;1;3;3;-;-;222;547;7;9;90;1772;17;2671
JACOBINA;85;808;844;47;15;773;760;1080;637;56;1027;160;6292
JAGUAQUARA;4;12;19;3;5;10;1755;89;4;12;708;273;2894
JAGUARARI;33;31;341;2;2;12;210;4;55;147;95;14;946
JAGUARIPE;8;6;-;-;-;7;5;-;1;7;78;2;114
JANDAIRA;3;11;22;1;2;11;6;4;5;114;14;8;201
JEQUIE;315;2044;443;116;21;555;2583;109;74;222;492;56;7034
JEREMOABO;1;594;364;1;2;29;81;3;4;92;59;5;1235
JIQUIRICA;7;8;7;-;1;2;12;-;5;4;36;4;86
JITAUNA;3;20;19;-;-;2;13;-;1;20;23;2;103
JOAO DOURADO;-;2;7;1;-;122;27;39;33;7;229;10;477
JUAZEIRO;584;424;251;29;59;312;1694;124;944;123;1842;177;6563
JUCURUCU;3;3;1;-;-;1;-;-;59;14;296;14;391
JUSSARA;5;4;2;-;1;89;48;31;68;6;366;7;627
JUSSARI;10;76;93;5;-;9;26;3;5;22;110;5;364
JUSSIAPE;1;5;5;-;-;-;66;-;-;-;275;13;365
LAFAIETE COUTINHO;2;14;1;-;-;2;86;1;1;-;28;3;138
LAGOA REAL;4;24;22;-;-;28;78;4;9;115;315;153;752
LAJE;3;9;7;2;-;42;120;1;-;9;132;9;334
LAJEDAO;19;12;16;8;-;1;4;-;28;73;143;10;314
LAJEDINHO;5;9;-;-;-;6;8;1;-;-;5;14;48
LAJEDO DO TABOCAL;-;-;18;22;-;3;13;-;1;1;44;5;107
LAMARAO;5;74;9;5;1;73;136;-;1;2;84;-;390
LAPAO;3;4;6;1;-;118;109;8;210;41;193;13;706
LAURO DE FREITAS;82;221;44;26;15;201;149;14;77;408;236;105;1578
LENCOIS;1;14;33;-;7;86;160;4;6;412;190;9;922
LICINIO DE ALMEIDA;-;-;3;-;-;28;80;-;60;3;699;78;951
LIVRAMENTO DE NOSSA SENHORA;9;8;36;-;150;273;443;13;453;697;1518;110;3710
LUIS EDUARDO MAGALHAES;72;660;28;9;11;1337;127;1895;1285;49;2100;100;7673
MACAJUBA;1;4;4;2;-;16;45;3;411;55;86;1;628
MACARANI;-;1;138;-;-;-;150;64;120;-;172;33;678
MACAUBAS;94;614;103;5;43;400;131;280;36;145;1224;71;3146
MACURURE;-;361;63;1;-;2;-;-;1;7;236;1;672
MADRE DE DEUS;6;19;2;3;2;144;40;7;2;67;22;9;323
MAETINGA;-;-;3;1;-;-;-;-;1;1;154;45;205
MAIQUINIQUE;2;55;21;5;-;6;73;6;45;6;182;156;557
MAIRI;14;81;37;22;12;30;39;2;12;18;546;21;834
MALHADA;-;-;7;1;66;31;16;163;-;5;314;6;609
MALHADA DE PEDRAS;-;8;6;1;-;17;50;1;23;21;360;2;489
MANOEL VITORINO;5;12;128;9;8;17;283;3;12;4;273;46;800
MANSIDAO;-;-;7;-;-;-;-;254;-;-;108;1;370
MARACAS;8;48;13;4;7;229;113;11;273;74;379;30;1189
MARAGOGIPE;17;68;13;-;-;21;250;4;13;42;24;12;464
MARAU;5;5;46;-;-;15;136;-;33;13;749;27;1029
MARCIONILIO SOUZA;-;3;184;3;1;37;471;1;3;4;51;6;764
MASCOTE;3;24;542;-;-;1;36;-;37;22;7;28;700
MATA DE SAO JOAO;7;13;11;1;3;70;42;1;19;17;47;30;261
MATINA;8;1;48;-;9;53;-;168;13;49;355;14;718
MEDEIROS NETO;1;4;31;16;5;19;236;-;59;275;105;21;772
MIGUEL CALMON;11;33;21;1;5;24;33;19;4;15;1551;14;1731
MILAGRES;-;201;22;1;-;12;109;-;2;-;177;5;529
MIRANGABA;3;13;51;-;2;157;61;9;450;4;261;142;1153
MIRANTE;26;6;10;1;-;9;23;1;1;107;123;13;320
MONTE SANTO;61;224;37;1;-;290;6;-;-;-;258;1282;2159
MORPARA;41;-;-;-;24;4;199;1;6;7;42;24;348
MORRO DO CHAPEU;42;74;160;11;2;516;272;10;165;712;3406;102;5472
MORTUGABA;-;-;2;-;-;209;14;1;2;6;511;6;751
MUCUGE;1;-;4;1;-;14;-;-;-;9;143;6;178
MUCURI;150;133;295;153;29;456;147;236;69;242;840;312;3062
MULUNGU DO MORRO;6;18;4;-;-;114;54;2;10;17;52;7;284
MUNDO NOVO;20;23;53;44;-;-;12;1;-;3;60;5;221
MUNIZ FERREIRA;28;26;4;-;-;6;5;-;-;11;9;6;95
MUQUEM DE SAO FRANCISCO;11;1;-;-;-;6;-;262;14;3;104;51;452
MURITIBA;124;108;39;14;3;175;31;3;7;46;524;15;1089
MUTUIPE;9;6;2;-;1;8;36;1;2;4;73;10;152
NAZARE;5;1;46;-;-;8;13;-;-;59;62;7;201
NILO PECANHA;2;3;24;-;1;15;62;-;-;22;25;16;170
NORDESTINA;195;20;40;2;2;62;21;10;-;1;159;12;524
NOVA CANAA;-;1;8;2;-;2;79;270;22;102;277;131;894
NOVA FATIMA;-;1;-;5;-;194;209;2;47;32;257;16;763
NOVA IBIA;4;3;-;-;-;-;107;2;7;12;33;9;177
NOVA ITARANA;-;2;30;-;2;4;87;2;-;7;34;6;174
NOVA REDENCAO;-;5;56;1;-;40;222;-;-;39;69;11;443
NOVA SOURE;4;173;-;-;-;19;76;4;-;8;24;7;315
NOVA VICOSA;53;31;598;383;8;149;154;12;102;50;388;20;1948
NOVO HORIZONTE;5;1;21;3;1;36;13;8;7;286;667;14;1062
NOVO TRIUNFO;1;24;21;-;-;4;9;1;-;5;11;-;76
OLINDINA;-;75;1;1;-;112;47;-;2;8;26;1;273
OLIVEIRA DOS BREJINHOS;-;3;14;4;226;46;158;133;443;13;184;176;1400
OURICANGAS;-;4;-;-;-;4;138;1;3;23;24;2;199
OUROLANDIA;68;99;215;4;2;117;208;365;105;9;415;104;1711
PALMAS DE MONTE ALTO;1;8;10;1;4;111;69;46;14;44;669;141;1118
PALMEIRAS;30;2;6;2;2;158;174;1;7;50;349;47;828
PARAMIRIM;2;52;132;3;334;500;45;9;56;223;864;38;2258
PARATINGA;4;179;31;5;300;25;545;144;4;4;470;6;1717
PARIPIRANGA;2;103;94;-;31;301;57;1;60;8;652;28;1337
PAU BRASIL;-;42;655;14;1;2;6;3;17;7;34;92;873
PAULO AFONSO;8;281;589;6;4;132;322;20;86;30;167;20;1665
PE DE SERRA;44;46;17;-;24;47;110;3;5;11;128;7;442
PEDRAO;1;1;-;-;-;22;24;-;11;-;48;-;107
PEDRO ALEXANDRE;1;8;2;1;-;63;1;-;1;6;44;1;128
PIATA;-;-;1;-;-;1;1;-;55;105;450;3;616
PILAO ARCADO;1;13;19;4;164;8;3;4;184;25;110;8;543
PINDAI;-;7;100;-;-;105;6;35;109;3;1048;23;1436
PINDOBACU;24;51;4;9;2;9;17;1;20;1;25;27;190
PINTADAS;104;192;10;1;-;144;6;2;7;2;133;10;611
PIRAI DO NORTE;-;3;4;-;-;32;11;-;-;2;95;2;149
PIRIPA;6;5;126;-;1;-;160;4;264;453;1259;20;2298
PIRITIBA;104;24;59;4;1;51;50;-;2;2;860;-;1157
PLANALTINO;-;15;9;-;-;4;6;2;1;21;48;17;123
PLANALTO;1;8;476;-;-;1;75;13;28;32;1620;62;2316
POCOES;-;5;34;3;3;1;33;1;27;96;649;44;896
POJUCA;22;34;6;5;2;101;294;110;27;42;62;10;715
PONTO NOVO;9;59;49;1;1;25;4;1;-;1;142;2;294
PORTO SEGURO;9;31;81;60;13;107;124;32;732;846;1193;285;3513
POTIRAGUA;-;1;2;-;-;-;4;6;192;79;82;6;372
PRADO;4;13;53;20;7;36;81;13;41;57;340;39;704
PRESIDENTE DUTRA;6;20;82;6;-;69;416;44;17;31;262;5;958
PRESIDENTE JANIO QUADROS;4;11;6;-;1;20;28;7;12;5;1506;7;1607
PRESIDENTE TANCREDO NEVES;3;16;14;1;2;161;40;2;4;3;16;20;282
QUEIMADAS;1;23;48;1;1;25;16;-;-;-;55;103;273
QUIJINGUE;35;57;22;1;7;340;143;7;2;5;116;36;771
QUIXABEIRA;1;166;41;1;-;92;177;-;1;14;917;23;1433
RAFAEL JAMBEIRO;9;26;7;-;1;232;37;-;2;110;280;13;717
REMANSO;127;62;64;32;209;168;52;4;700;28;64;18;1528
RETIROLANDIA;6;92;34;2;-;16;50;-;2;2;295;375;874
RIACHAO DAS NEVES;1;31;6;17;6;54;59;53;4;4;77;2;314
RIACHAO DO JACUIPE;70;134;25;40;46;737;175;11;25;88;249;16;1616
RIACHO DE SANTANA;15;14;27;2;154;470;85;352;60;20;1338;69;2606
RIBEIRA DO AMPARO;-;18;120;-;2;2;-;-;-;1;13;3;159
RIBEIRA DO POMBAL;23;45;21;31;69;10;418;12;16;17;219;43;924
RIBEIRAO DO LARGO;-;-;9;-;-;2;49;1;3;5;132;7;208
RIO DE CONTAS;3;29;55;-;40;16;12;4;2;42;830;8;1041
RIO DO ANTONIO;3;1;6;1;1;-;101;1;9;27;83;29;262
RIO DO PIRES;-;7;31;13;6;16;84;77;17;4;141;46;442
RIO REAL;18;57;9;3;1;218;147;14;35;70;155;29;756
RODELAS;-;21;8;2;-;14;3;5;28;580;181;2;844
RUY BARBOSA;16;272;41;8;-;30;44;374;272;7;66;9;1139
SALINAS DA MARGARIDA;1;-;-;-;-;3;2;-;-;4;13;3;26
SALVADOR;3627;5707;3375;2097;1220;9325;11082;814;2567;12817;10480;3605;66721
SANTA BARBARA;1;274;5;6;2;441;62;1;1;3;245;2;1043
SANTA BRIGIDA;-;161;508;-;1;1;7;7;5;42;5;2;739
SANTA CRUZ CABRALIA;2;53;99;238;71;114;144;9;160;153;195;89;1327
SANTA CRUZ DA VITORIA;-;16;110;4;-;4;-;-;259;1;19;108;521
SANTA INES;-;3;14;-;-;1;13;-;-;3;38;4;76
SANTALUZ;7;532;130;49;4;38;370;7;12;13;628;332;2123
SANTA LUZIA;-;23;184;4;-;-;62;56;7;67;23;6;432
SANTA MARIA DA VITORIA;12;101;54;74;289;526;362;734;901;356;1933;147;5489
SANTANA;6;100;60;-;2;54;23;192;52;-;533;36;1058
SANTANOPOLIS;-;1;1;-;-;193;58;2;1;2;30;3;291
SANTA RITA DE CASSIA;5;11;14;50;5;14;306;494;55;263;658;36;1911
SANTA TERESINHA;2;33;7;-;-;18;90;3;2;4;28;11;198
SANTO AMARO;8;52;15;2;4;116;26;1;7;48;39;11;329
SANTO ANTONIO DE JESUS;18;71;45;14;9;519;916;9;17;1833;5203;431;9085
SANTO ESTEVAO;10;135;7;14;33;1621;287;32;50;94;614;102;2999
SAO DESIDERIO;21;20;5;9;20;58;21;294;96;11;573;46;1174
SAO DOMINGOS;4;230;24;2;3;24;224;-;6;7;200;42;766
SAO FELIX;8;27;5;-;-;78;113;1;-;32;36;11;311
SAO FELIX DO CORIBE;4;60;34;19;92;25;128;211;26;1;313;38;951
SAO FELIPE;19;5;6;-;-;9;4;1;3;14;471;13;545
SAO FRANCISCO DO CONDE;16;408;44;18;2;146;28;4;5;89;121;13;894
SAO GABRIEL;2;17;5;-;1;106;53;6;43;14;553;10;810
SAO GONCALO DOS CAMPOS;58;45;7;1;6;764;158;5;9;44;295;23;1415
SAO JOSE DA VITORIA;22;142;411;6;6;1;39;8;5;4;16;16;676
SAO JOSE DO JACUIPE;3;138;7;-;-;2;134;1;-;4;300;35;624
SAO MIGUEL DAS MATAS;-;8;2;-;1;5;21;-;-;4;138;7;186
SAO SEBASTIAO DO PASSE;32;54;10;5;3;415;91;12;5;95;150;11;883
SAPEACU;14;280;37;1;-;36;16;15;10;54;298;6;767
SATIRO DIAS;4;27;31;-;-;106;26;-;19;2;50;19;284
SAUBARA;1;3;1;-;1;5;7;1;1;-;17;1;38
SAUDE;5;24;51;2;-;22;7;1;3;1;103;1;220
SEABRA;103;52;340;2;1;610;1288;31;87;102;2209;264;5089
SEBASTIAO LARANJEIRAS;7;78;16;-;42;197;185;16;44;11;271;32;899
SENHOR DO BONFIM;46;200;411;24;5;124;523;12;10;7;412;33;1807
SERRA DO RAMALHO;-;47;101;-;33;43;13;172;57;3;98;18;585
SENTO SE;71;83;112;-;1;41;10;1;460;5;350;200;1334
SERRA DOURADA;5;29;24;-;25;133;20;60;15;3;310;33;657
SERRA PRETA;-;9;2;2;4;32;105;-;1;4;10;5;174
SERRINHA;107;1257;501;41;18;846;1475;5;5;38;4228;37;8560
SERROLANDIA;26;171;68;2;6;560;172;5;30;46;1065;60;2211
SIMOES FILHO;75;2498;416;443;9;293;1011;52;40;96;74;47;5054
SITIO DO MATO;-;81;2;1;322;19;169;33;102;6;210;-;945
SITIO DO QUINTO;10;108;29;1;5;9;25;1;6;4;28;3;229
SOBRADINHO;21;11;23;-;1;10;560;5;145;3;222;29;1030
SOUTO SOARES;1;112;27;-;7;256;297;34;47;111;496;71;1459
TABOCAS DO BREJO VELHO;1;2;3;-;18;3;2;1;74;-;141;4;249
TANHACU;33;2;1;1;97;56;273;-;7;10;100;11;591
TANQUE NOVO;13;117;44;5;3;88;3;-;-;84;117;1;475
TANQUINHO;-;118;7;22;5;154;174;6;2;20;112;8;628
TAPEROA;4;150;17;1;1;129;61;10;-;8;77;56;514
TAPIRAMUTA;29;30;92;610;9;25;15;3;-;3;631;-;1447
TEIXEIRA DE FREITAS;136;174;886;300;353;404;588;33;1192;1443;4659;1467;11637
TEODORO SAMPAIO;3;4;-;-;-;13;35;2;2;33;19;4;115
TEOFILANDIA;23;71;4;2;-;118;127;-;3;4;95;4;451
TEOLANDIA;2;14;2;-;1;16;4;7;33;1;218;5;303
TERRA NOVA;6;12;1;-;-;488;30;11;4;3;35;2;592
TREMEDAL;4;58;242;12;-;3;48;-;3;13;670;59;1112
TUCANO;23;156;42;6;-;124;399;5;21;32;110;68;986
UAUA;33;12;152;1;4;10;143;-;256;24;195;123;953
UBAIRA;6;23;6;-;-;116;260;31;37;11;294;5;789
UBAITABA;6;51;25;3;2;4;78;1;8;35;22;10;245
UBATA;15;10;223;3;-;2;67;2;2;1;55;3;383
UIBAI;8;85;18;15;1;201;524;4;26;2;86;3;973
UMBURANAS;3;5;3;-;-;27;26;124;52;-;212;3;455
UNA;3;161;241;7;1;6;32;134;48;9;28;17;687
URANDI;-;-;-;-;-;196;8;13;580;1;411;37;1246
URUCUCA;21;91;97;66;1;10;112;6;484;629;768;175;2460
UTINGA;11;9;21;-;3;16;24;2;11;14;89;5;205
VALENCA;47;177;505;1;25;131;202;16;7;5;1676;46;2838
VALENTE;41;508;41;6;4;66;1101;4;9;8;30;125;1943
VARZEA DA ROCA;2;367;101;-;-;60;77;-;1;1;422;33;1064
VARZEA DO POCO;3;428;3;-;-;3;1;-;-;3;191;5;637
VARZEA NOVA;3;18;1;1;3;32;44;255;-;192;442;24;1015
VARZEDO;2;5;12;-;-;13;7;-;-;9;239;3;290
VERA CRUZ;50;75;70;7;6;92;93;3;9;131;104;166;806
VEREDA;-;1;2;5;-;1;6;9;24;197;30;7;282
VITORIA DA CONQUISTA;104;470;2611;165;71;386;4196;122;455;1175;35783;2686;48224
WAGNER;12;6;7;-;3;114;12;1;2;4;55;127;343
WANDERLEY;4;49;13;289;1;50;1;1;35;68;364;19;894
WENCESLAU GUIMARAES;4;10;8;4;3;6;6;1;3;2;39;16;102
XIQUE-XIQUE;14;87;12;2;71;76;11;81;15;3;278;23;673
MUNICIPIO IGNORADO - MG;-;1;-;-;-;-;-;-;-;-;1;-;2
ABADIA DOS DOURADOS;2;127;12;3;3;74;13;2;50;676;129;123;1214
ABAETE;54;149;97;2;2;68;29;3;44;547;406;4;1405
ABRE CAMPO;3;4;274;-;1;30;12;1;2;187;513;49;1076
ACAIACA;-;-;10;1;3;13;87;24;5;228;690;355;1416
ACUCENA;6;9;118;10;16;2;127;6;13;48;711;20;1087
AGUA BOA;27;4;160;3;2;135;25;1;128;34;1266;26;1811
AGUA COMPRIDA;1;22;53;3;4;22;12;-;33;34;197;357;738
AGUANIL;17;3;6;2;3;4;31;2;6;19;859;38;990
AGUAS FORMOSAS;37;19;226;21;2;119;207;14;13;564;705;42;1970
AGUAS VERMELHAS;7;67;9;29;3;9;20;-;5;3;75;7;234
AIMORES;17;280;200;57;14;110;72;19;6;233;321;79;1408
AIURUOCA;-;-;1;-;-;-;-;-;-;-;148;2;151
ALAGOA;-;-;3;-;-;-;1;-;-;1;18;2;25
ALBERTINA;1;10;2;1;-;4;-;-;-;1;37;29;85
ALEM PARAIBA;2;324;1604;3;7;12;35;93;29;736;2308;320;5473
ALFENAS;270;2357;3933;35;126;625;1036;11;403;269;11717;197;20979
ALFREDO VASCONCELOS;-;1;7;-;1;3;1;-;-;3;651;11;678
ALMENARA;50;27;54;138;2;143;150;5;224;79;310;2;1184
ALPERCATA;12;9;-;22;-;19;53;5;12;110;200;11;453
ALPINOPOLIS;28;27;239;1;2;157;16;10;14;320;978;55;1847
ALTEROSA;4;13;114;13;5;12;23;1;25;199;1242;241;1892
ALTO CAPARAO;-;1;2;-;-;-;1;-;1;25;241;3;274
ALTO RIO DOCE;-;1;2;-;1;3;-;-;-;188;474;3;672
ALVARENGA;4;22;150;3;14;258;41;2;2;399;156;9;1060
ALVINOPOLIS;9;19;175;6;15;297;10;3;4;688;1373;508;3107
ALVORADA DE MINAS;-;4;6;-;-;6;8;1;-;9;822;21;877
AMPARO DO SERRA;1;-;10;-;1;6;21;-;-;135;32;55;261
ANDRADAS;21;851;88;2;2;34;29;-;35;10;6509;734;8315
CACHOEIRA DE PAJEU;3;4;63;5;-;1;25;-;228;38;484;26;877
ANDRELANDIA;-;20;8;1;-;3;37;-;2;1;610;8;690
ANGELANDIA;-;-;12;1;-;46;1;-;67;14;677;19;837
ANTONIO CARLOS;-;-;32;1;-;3;3;1;1;5;830;47;923
ANTONIO DIAS;1;3;128;2;31;24;6;5;7;136;179;43;565
ANTONIO PRADO DE MINAS;2;1;13;-;-;4;2;1;-;24;15;11;73
ARACAI;1;13;168;-;1;22;5;1;1;43;116;1;372
ARACITABA;-;1;12;-;1;1;-;-;3;-;276;3;297
ARACUAI;75;520;377;130;39;236;824;60;599;1219;2576;10;6665
ARAGUARI;145;1379;1446;27;57;2741;241;103;548;2967;13102;1659;24415
ARANTINA;-;2;4;-;-;2;1;-;-;-;277;7;293
ARAPONGA;1;-;6;-;-;3;1;-;1;7;68;2;89
ARAPORA;58;164;29;22;48;102;22;77;363;179;409;211;1684
ARAPUA;25;1;3;-;1;43;1;3;7;44;752;20;900
ARAUJOS;287;186;230;6;60;152;108;25;44;896;1227;116;3337
ARAXA;228;1533;3985;28;81;1185;152;28;1369;1215;9547;3121;22472
ARCEBURGO;16;688;12;2;7;91;102;5;6;280;261;102;1572
ARCOS;255;1711;35;4;600;3380;70;20;91;375;2602;359;9502
AREADO;6;32;35;5;2;53;87;1;53;96;2559;259;3188
ARGIRITA;-;2;120;1;-;1;-;10;2;50;148;84;418
ARICANDUVA;-;-;-;2;-;7;1;-;68;2;189;3;272
ARINOS;66;124;32;44;41;209;101;356;229;163;662;22;2049
ASTOLFO DUTRA;2;185;501;2;6;34;289;19;-;36;213;75;1362
ATALEIA;4;13;41;18;1;14;16;-;33;23;145;6;315
AUGUSTO DE LIMA;19;88;234;-;2;175;2;4;-;70;444;7;1045
BAEPENDI;1;48;25;4;-;4;231;-;772;9;1077;58;2229
BALDIM;9;62;249;2;1;101;4;1;3;72;942;31;1477
BAMBUI;30;813;71;9;10;201;23;-;1;69;1766;24;3017
BANDEIRA;1;2;11;5;-;35;179;1;8;5;44;-;291
BANDEIRA DO SUL;-;8;4;1;-;1;2;-;1;12;163;8;200
BARAO DE COCAIS;19;40;787;7;2;288;124;20;38;725;3548;152;5750
BARAO DE MONTE ALTO;-;13;64;1;1;20;3;-;16;226;107;58;509
BARBACENA;14;33;1775;20;21;60;18;12;11;193;12778;618;15553
BARRA LONGA;-;-;175;-;1;4;-;1;1;361;217;102;862
BARROSO;2;74;1562;2;8;45;51;33;12;237;3392;71;5489
BELA VISTA DE MINAS;2;14;255;-;-;172;5;3;2;181;1327;23;1984
BELMIRO BRAGA;-;9;25;-;1;7;-;-;1;2;293;9;347
BELO HORIZONTE;3162;17830;156679;977;515;116321;5058;1067;1272;13826;216736;2689;536141
BELO ORIENTE;7;46;346;30;288;155;413;40;4;238;2366;66;3999
BELO VALE;3;30;105;-;16;169;17;5;4;27;892;31;1299
BERILO;4;16;17;1;1;66;61;96;3;128;805;13;1211
BERTOPOLIS;13;6;23;-;-;12;-;-;4;4;126;1;189
BERIZAL;-;-;4;-;-;-;2;-;1;6;49;9;71
BETIM;429;23387;16004;847;358;54592;356;358;525;10975;53937;958;162726
BIAS FORTES;-;-;1;-;-;1;-;-;-;-;154;-;156
BICAS;2;10;656;-;1;134;8;1;39;346;874;29;2100
BIQUINHAS;24;72;45;3;2;2;-;-;20;322;191;6;687
BOA ESPERANCA;35;117;274;12;4;639;148;11;41;984;8481;28;10774
BOCAINA DE MINAS;-;4;1;-;-;5;1;-;-;2;15;3;31
BOCAIUVA;92;384;1175;101;422;2745;160;9;252;3860;2119;385;11704
BOM DESPACHO;199;1767;1215;62;18;225;722;22;168;860;5701;545;11504
BOM JARDIM DE MINAS;1;3;26;3;-;-;1;-;2;3;561;22;622
BOM JESUS DA PENHA;2;-;1;2;2;6;8;-;9;109;175;15;329
BOM JESUS DO AMPARO;32;5;39;1;10;243;44;4;1;34;451;23;887
BOM JESUS DO GALHO;-;2;74;7;10;75;89;6;10;127;473;33;906
BOM REPOUSO;-;4;1;-;-;1;-;-;-;-;46;3;55
BOM SUCESSO;18;69;98;1;20;13;2;-;154;156;2815;18;3364
BONFIM;2;20;54;20;16;58;5;6;11;119;560;10;881
BONFINOPOLIS DE MINAS;44;74;22;1;1;78;23;-;31;383;377;-;1034
BONITO DE MINAS;-;30;5;1;-;211;3;4;150;271;389;86;1150
BORDA DA MATA;3;52;6;1;1;3;5;2;11;18;900;48;1050
BOTELHOS;1;7;1;2;2;4;1;2;2;1;1670;37;1730
BOTUMIRIM;-;-;2;1;7;49;1;-;3;94;808;56;1021
BRASILANDIA DE MINAS;466;7;4;4;72;144;13;6;14;746;160;9;1645
BRASILIA DE MINAS;9;54;276;558;1;1247;19;8;85;361;3326;201;6145
BRAS PIRES;-;1;6;2;2;14;3;-;2;9;209;6;254
BRAUNAS;6;21;10;3;3;7;24;6;2;43;40;8;173
BRAZOPOLIS;-;5;-;4;-;4;7;3;1;11;968;426;1429
BRUMADINHO;26;683;1991;28;25;1036;209;58;210;537;9245;454;14502
BUENO BRANDAO;3;3;2;-;-;1;-;-;7;3;538;34;591
BUENOPOLIS;27;114;33;2;10;227;5;3;4;63;536;7;1031
BUGRE;2;6;74;5;3;7;33;6;7;124;316;17;600
BURITIS;275;212;109;14;1;541;109;298;53;814;2294;18;4738
BURITIZEIRO;196;98;92;32;31;535;12;11;306;945;942;39;3240
CABECEIRA GRANDE;15;25;101;6;14;165;46;98;103;235;273;13;1094
CABO VERDE;-;4;-;1;1;3;5;-;10;12;233;16;285
CACHOEIRA DA PRATA;26;166;142;1;-;14;12;1;15;39;334;9;759
CACHOEIRA DE MINAS;-;48;4;2;-;4;2;2;1;1;1933;111;2108
CACHOEIRA DOURADA;36;2;22;24;12;38;23;4;69;62;83;28;403
CAETANOPOLIS;4;35;214;81;18;52;34;9;11;892;770;77;2197
CAETE;3;27;1173;9;16;1017;295;21;28;424;5805;214;9032
CAIANA;-;1;12;1;-;1;-;-;-;54;201;10;280
CAJURI;1;2;12;1;1;-;-;-;1;31;634;3;686
CALDAS;-;10;2;1;1;1;-;-;-;1;347;16;379
CAMACHO;3;4;2;-;-;1;-;-;2;15;280;2;309
CAMANDUCAIA;1;24;1;1;-;3;-;1;1;3;128;12;175
CAMBUI;4;39;7;2;-;3;1;-;10;17;402;50;535
CAMBUQUIRA;41;1286;3;10;2;2;-;1;2;41;756;8;2152
CAMPANARIO;5;42;561;60;13;33;35;1;2;20;211;4;987
CAMPANHA;12;421;90;9;15;7;16;1;250;48;2801;5;3675
CAMPESTRE;1;11;6;-;1;4;4;-;9;6;261;56;359
CAMPINA VERDE;359;20;35;9;233;292;76;34;109;600;261;470;2500
CAMPO AZUL;-;1;38;23;-;105;75;1;-;14;146;30;433
CAMPO BELO;3365;29;129;9;6;533;2061;6;57;79;7601;68;13947
CAMPO DO MEIO;29;228;180;8;3;47;1;-;2;72;872;5;1447
CAMPO FLORIDO;20;28;40;7;5;183;71;6;285;39;113;308;1105
CAMPOS ALTOS;15;75;56;3;120;50;18;3;50;470;1216;79;2155
CAMPOS GERAIS;8;25;10;1;1;388;10;-;269;45;972;13;1742
CANAA;-;-;8;-;1;1;-;-;1;7;168;5;191
CANAPOLIS;25;193;73;61;84;302;57;-;298;121;877;280;2371
CANA VERDE;119;7;3;1;1;8;34;3;18;118;1622;47;1981
CANDEIAS;93;16;70;1;8;234;53;9;3;36;2730;13;3266
CANTAGALO;4;13;31;1;-;58;31;3;1;11;167;14;334
CAPARAO;-;-;-;-;-;2;2;-;-;42;327;4;377
CAPELA NOVA;-;3;93;-;-;2;-;-;1;2;345;1;447
CAPELINHA;17;13;702;5;1;17;4;4;177;59;4708;364;6072
CAPETINGA;6;33;17;2;-;87;8;6;236;155;1222;24;1796
CAPIM BRANCO;39;151;455;3;2;578;311;5;7;172;1049;62;2834
CAPINOPOLIS;27;1011;35;41;129;425;84;27;174;760;809;942;4464
CAPITAO ANDRADE;2;3;71;-;1;2;27;9;15;137;82;2;351
CAPITAO ENEAS;22;157;906;1;18;204;37;12;36;34;359;110;1896
CAPITOLIO;19;85;42;6;-;151;116;48;657;1297;263;30;2714
CAPUTIRA;2;1;106;-;-;26;3;-;143;90;543;-;914
